product_id,product_name,price,vendor,product_type,tags,availability,number_of_variants,image_url,product_url
1076320792,Móc Khóa Helio Gương Mặt Trời Màu Nâu Lợt BAKG00300NAL,115000,Helio,Khác,"26AU,Phukien,new,Phụ kiện nam,NAM,BÉ GÁI,kho:online,Phụ kiện,BÉ TRAI,Phụ kiện trẻ em,TRẺ EM,Phụ kiện nữ,NỮ",Available,1,https://cdn.hstatic.net/products/1000230642/bakg00300nal__2__2150e8a469e040eda18dcb6bcc756cf3.jpg,https://bitis.com.vn/products/moc-khoa-helio-guong-mat-troi-mau-nau-lot-bakg00300nal
1076248650,Giày Sandal Bé Trai Biti's Màu Xanh Dương Đậm BEB009100XDD,340000,Biti's,Sandal Thông Dụng,"26AU,kho:online,Sandal,Giày dép trẻ em,BÉ TRAI,Giày trẻ em,P_10/09/2026,Sandal trẻ em,PreOrder,Giày dép,Giày,new,TRẺ EM",Available,8,https://cdn.hstatic.net/products/1000230642/beb009100xdd__1__16d14bf47ddf4d4194244f3917b460cc.jpg,https://bitis.com.vn/products/giay-sandal-be-trai-biti-s-mau-xanh-duong-dam-beb009100xdd
1076248476,Giày Sandal Bé Trai Biti's Màu Đen BEB009100DEN,340000,Biti's,Sandal Thông Dụng,"P_10/09/2026,new,Giày dép,TRẺ EM,PreOrder,BÉ TRAI,26AU,kho:online,Giày trẻ em,Sandal,Giày,Giày dép trẻ em,Sandal trẻ em",Available,8,https://cdn.hstatic.net/products/1000230642/beb009100den__1__94309c4250574adea547206a704d4847.jpg,https://bitis.com.vn/products/giay-sandal-be-trai-biti-s-mau-den-beb009100den
1076244592,Giày Pickleball Nữ Biti's Hunter Vector Màu Trắng HSW015700TRG,900000,HUNTER,Giày Thể Thao,"kho:online,26AU,Giày Hunter,new,Hunter Vector,Giày dép nữ,NỮ,spnoibat,Giày nữ,Giày dép Hunter",Available,5,https://cdn.hstatic.net/products/1000230642/hsw015700trg__1__a668bceaaa1a45bf843d9b7a19c36134.jpg,https://bitis.com.vn/products/giay-pickleball-nu-biti-s-hunter-vector-mau-trang-hsw015700trg
1076244584,Giày Pickleball Nữ Biti's Hunter Vector Màu Bạc HSW015700BAC,900000,HUNTER,Giày Thể Thao,"26AU,spnoibat,kho:online,Hunter Vector,Giày dép nữ,NỮ,new,Giày nữ,Giày dép Hunter,Giày Hunter,Đã bán:199",Available,5,https://cdn.hstatic.net/products/1000230642/hsw015700bac__3__cc92c4bf51a84584a00a5e4c8ba12231.jpg,https://bitis.com.vn/products/giay-pickleball-nu-biti-s-hunter-vector-mau-bac-hsw015700bac
1076244338,Giày Pickleball Nam Biti's Hunter Vector Màu Xám HSM015700XAM,930000,HUNTER,Giày Thể Thao,"Giày Hunter,spnoibat,NAM,Giày nam,Giày,Giày dép nam,Giày dép Hunter,Hunter Vector,new,26AU,Giày dép,kho:online,Giày Thể Thao",Available,6,https://cdn.hstatic.net/products/1000230642/hsm015700xam__2__cd2f3f5e612349cea710c8a0aca1eed7.jpg,https://bitis.com.vn/products/giay-pickleball-nam-biti-s-hunter-vector-mau-xam-hsm015700xam
1076244264,Giày Pickleball Nam Biti's Hunter Vector Màu Trắng HSM015700TRG,930000,HUNTER,Giày Thể Thao,"kho:online,Giày dép,Giày dép nam,Giày Thể Thao,Giày,NAM,new,Giày nam,spnoibat,Hunter Vector,26AU,Giày dép Hunter,Giày Hunter",Available,6,https://cdn.hstatic.net/products/1000230642/hsm015700trg__6__1a5d6c3a5fc04bf88370212086577d1c.jpg,https://bitis.com.vn/products/giay-pickleball-nam-biti-s-hunter-vector-mau-trang-hsm015700trg
1076244150,Giày Pickleball Nam Biti's Hunter Vector Màu Bạc HSM015700BAC,930000,HUNTER,Giày Thể Thao,"kho:online,Giày Thể Thao,Giày nam,Giày dép Hunter,Giày dép,Giày dép nam,Giày Hunter,26AU,Giày,Hunter Vector,new,spnoibat,NAM",Available,6,https://cdn.hstatic.net/products/1000230642/hsm015700bac__3__fcc80837efd64b4fa48b72e627145fc9.jpg,https://bitis.com.vn/products/giay-pickleball-nam-biti-s-hunter-vector-bac-hsm015700bac
1076243975,Giày Sandal Nữ Biti's Hunter Shift Màu Xanh Dương Lợt HEW002400XDL,575000,HUNTER,Sandal Thông Dụng,"Giày dép nữ,Giày nữ,Sandalnu,kho:online,Sandal,NỮ,new,SHIFT,spnoibat,Sandal Dép Hunter,Sandal Thông Dụng,26AU",Available,5,https://cdn.hstatic.net/products/1000230642/hew002400xdl__3__621eef38b5ac423a83b37f450483f629.jpg,https://bitis.com.vn/products/giay-sandal-nu-biti-s-hunter-shift-mau-xanh-duong-lot-hew002400xdl
1076243972,Giày Sandal Nữ Biti's Hunter Shift Màu Hồng HEW002400HOG,575000,HUNTER,Sandal Thông Dụng,"Sandalnu,NỮ,Giày dép nữ,new,Sandal Thông Dụng,Sandal Dép Hunter,SHIFT,Sandal,Giày nữ,spnoibat,kho:online,26AU",Available,5,https://cdn.hstatic.net/products/1000230642/hew002400hog__3__6a2d8cfe3343484090edd0e2595f10fe.jpg,https://bitis.com.vn/products/giay-sandal-nu-biti-s-hunter-shift-mau-hong-hew002400hog
